user_id,variant,order_value,order_value_pre
u_00000,control,42.44,61.82
u_00001,control,76.76,63.62
u_00002,control,47.48,43.84
u_00003,control,45.27,39.1
u_00004,control,51.37,63.03
u_00005,control,40.76,34.32
u_00006,control,59.33,49.64
u_00007,control,54.58,65.02
u_00008,control,50.2,65.78
u_00009,control,41.54,45.52
u_00010,control,81.43,58.66
u_00011,control,45.14,39.42
u_00012,control,52.16,56.11
u_00013,control,36.25,50.33
u_00014,control,25.27,34.7
u_00015,control,50.95,55.76
u_00016,control,47.33,24.44
u_00017,control,5.91,35.02
u_00018,control,59.8,65.33
u_00019,control,33.61,19.69
u_00020,control,30.47,22.68
u_00021,control,53.91,34.98
u_00022,control,54.08,69.01
u_00023,control,48.7,74.42
u_00024,control,62.48,52.61
u_00025,control,19.1,7.23
u_00026,control,34.88,35.85
u_00027,control,29.03,37.55
u_00028,control,27.76,33.87
u_00029,control,6.39,20.41
u_00030,control,57.34,23.96
u_00031,control,84.27,66.81
u_00032,control,40.34,28.44
u_00033,control,61.73,55.43
u_00034,control,1.0,19.21
u_00035,control,12.6,29.36
u_00036,control,59.79,34.23
u_00037,control,26.66,40.53
u_00038,control,57.03,66.1
u_00039,control,60.6,55.73
u_00040,control,48.03,29.23
u_00041,control,20.25,14.01
u_00042,control,30.83,42.28
u_00043,control,56.57,43.91
u_00044,control,56.11,69.64
u_00045,control,30.38,33.65
u_00046,control,18.8,14.73
u_00047,control,21.55,6.4
u_00048,control,70.89,52.67
u_00049,control,39.38,40.78
u_00050,control,45.52,25.62
u_00051,control,17.27,29.83
u_00052,control,29.78,26.29
u_00053,control,60.49,61.12
u_00054,control,57.92,61.59
u_00055,control,37.22,14.09
u_00056,control,46.08,48.45
u_00057,control,68.82,62.52
u_00058,control,103.45,103.54
u_00059,control,33.84,27.54
u_00060,control,55.37,46.84
u_00061,control,80.22,61.03
u_00062,control,75.42,84.49
u_00063,control,41.84,35.23
u_00064,control,27.71,29.18
u_00065,control,55.75,66.33
u_00066,control,22.61,35.18
u_00067,control,61.47,51.11
u_00068,control,98.45,96.92
u_00069,control,50.13,43.47
u_00070,control,11.72,17.15
u_00071,control,26.35,27.36
u_00072,control,38.21,38.4
u_00073,control,100.81,69.05
u_00074,control,43.81,47.1
u_00075,control,9.77,14.38
u_00076,control,32.4,36.92
u_00077,control,44.46,43.85
u_00078,control,25.97,23.92
u_00079,control,29.08,41.26
u_00080,control,116.88,112.5
u_00081,control,62.51,71.37
u_00082,control,84.94,64.77
u_00083,control,34.61,32.08
u_00084,control,29.65,28.73
u_00085,control,39.46,43.16
u_00086,control,27.82,16.52
u_00087,control,101.39,84.21
u_00088,control,44.76,42.57
u_00089,control,89.76,85.34
u_00090,control,29.9,48.36
u_00091,control,61.95,57.44
u_00092,control,55.58,53.5
u_00093,control,31.56,25.21
u_00094,control,83.33,87.46
u_00095,control,28.51,28.06
u_00096,control,29.73,14.48
u_00097,control,39.29,49.84
u_00098,control,47.82,50.25
u_00099,control,60.7,54.54
u_00100,control,41.5,46.75
u_00101,control,8.26,1.0
u_00102,control,18.74,43.77
u_00103,control,22.58,19.59
u_00104,control,64.64,84.99
u_00105,control,39.24,33.11
u_00106,control,50.31,49.71
u_00107,control,34.72,19.27
u_00108,control,55.29,60.46
u_00109,control,55.54,31.73
u_00110,control,35.9,30.47
u_00111,control,50.94,37.2
u_00112,control,41.5,52.33
u_00113,control,126.18,136.59
u_00114,control,13.53,41.66
u_00115,control,5.64,12.73
u_00116,control,42.0,53.41
u_00117,control,30.75,18.97
u_00118,control,19.41,8.12
u_00119,control,9.53,19.67
u_00120,control,112.48,120.59
u_00121,control,15.84,34.91
u_00122,control,12.59,22.64
u_00123,control,121.91,106.56
u_00124,control,19.73,31.29
u_00125,control,149.82,149.85
u_00126,control,47.71,33.47
u_00127,control,100.54,91.21
u_00128,control,32.52,34.12
u_00129,control,56.04,68.7
u_00130,control,34.38,43.46
u_00131,control,42.11,40.15
u_00132,control,53.68,47.46
u_00133,control,44.81,75.32
u_00134,control,49.07,58.11
u_00135,control,44.29,39.46
u_00136,control,33.77,27.23
u_00137,control,48.45,40.09
u_00138,control,94.78,92.13
u_00139,control,26.27,23.08
u_00140,control,57.74,53.79
u_00141,control,70.45,89.05
u_00142,control,45.42,45.47
u_00143,control,43.37,59.91
u_00144,control,22.54,19.23
u_00145,control,43.77,46.85
u_00146,control,40.8,53.61
u_00147,control,22.69,46.47
u_00148,control,82.04,94.77
u_00149,control,42.54,36.66
u_00150,control,42.92,48.87
u_00151,control,17.99,3.11
u_00152,control,92.37,103.08
u_00153,control,66.72,70.91
u_00154,control,47.37,52.89
u_00155,control,44.38,35.07
u_00156,control,59.53,57.66
u_00157,control,70.47,78.34
u_00158,control,93.8,104.6
u_00159,control,71.0,54.14
u_00160,control,37.38,51.44
u_00161,control,69.46,70.72
u_00162,control,61.45,56.07
u_00163,control,44.81,28.96
u_00164,control,55.53,62.52
u_00165,control,48.2,74.6
u_00166,control,46.65,55.88
u_00167,control,40.85,35.98
u_00168,control,46.0,76.03
u_00169,control,27.53,24.23
u_00170,control,30.21,29.17
u_00171,control,56.33,47.96
u_00172,control,56.19,55.41
u_00173,control,43.82,45.95
u_00174,control,54.86,37.73
u_00175,control,13.56,21.88
u_00176,control,59.79,53.89
u_00177,control,85.93,80.96
u_00178,control,57.8,57.02
u_00179,control,68.85,63.84
u_00180,control,53.34,63.68
u_00181,control,52.12,67.26
u_00182,control,41.58,27.41
u_00183,control,66.84,50.58
u_00184,control,18.89,15.61
u_00185,control,97.83,95.48
u_00186,control,21.81,29.97
u_00187,control,75.27,61.3
u_00188,control,92.01,82.73
u_00189,control,63.97,62.5
u_00190,control,135.37,135.0
u_00191,control,15.9,16.53
u_00192,control,27.28,39.66
u_00193,control,78.48,60.14
u_00194,control,30.11,20.52
u_00195,control,35.54,44.82
u_00196,control,48.71,67.79
u_00197,control,44.15,30.48
u_00198,control,57.05,52.92
u_00199,control,43.19,37.64
u_00200,control,68.34,63.17
u_00201,control,31.58,31.67
u_00202,control,48.18,42.54
u_00203,control,45.09,35.83
u_00204,control,35.25,17.31
u_00205,control,74.01,57.27
u_00206,control,7.09,20.72
u_00207,control,5.58,15.98
u_00208,control,71.96,48.03
u_00209,control,61.26,45.65
u_00210,control,75.92,90.18
u_00211,control,21.46,16.97
u_00212,control,46.32,43.62
u_00213,control,41.17,46.68
u_00214,control,29.56,45.42
u_00215,control,33.6,24.74
u_00216,control,60.82,63.8
u_00217,control,3.55,26.11
u_00218,control,13.75,13.55
u_00219,control,41.14,39.29
u_00220,control,54.06,65.32
u_00221,control,30.46,31.73
u_00222,control,19.48,37.4
u_00223,control,52.91,44.23
u_00224,control,70.17,46.86
u_00225,control,28.12,37.68
u_00226,control,75.41,85.28
u_00227,control,67.22,68.25
u_00228,control,38.58,42.22
u_00229,control,120.21,104.24
u_00230,control,41.88,45.11
u_00231,control,71.36,60.61
u_00232,control,44.57,63.39
u_00233,control,60.78,45.42
u_00234,control,1.0,24.86
u_00235,control,19.45,18.02
u_00236,control,37.23,32.6
u_00237,control,69.33,84.33
u_00238,control,59.39,60.43
u_00239,control,47.4,39.45
u_00240,control,48.52,65.91
u_00241,control,90.0,70.94
u_00242,control,32.76,44.08
u_00243,control,59.64,44.03
u_00244,control,47.34,53.37
u_00245,control,38.68,37.16
u_00246,control,25.13,40.29
u_00247,control,26.92,24.66
u_00248,control,61.3,59.79
u_00249,control,66.58,80.02
u_00250,control,35.87,37.94
u_00251,control,31.12,34.9
u_00252,control,4.19,13.67
u_00253,control,5.74,19.43
u_00254,control,74.17,78.07
u_00255,control,26.09,28.44
u_00256,control,129.8,126.42
u_00257,control,33.32,39.27
u_00258,control,32.79,16.2
u_00259,control,28.64,60.79
u_00260,control,68.54,63.54
u_00261,control,61.26,59.31
u_00262,control,74.55,66.65
u_00263,control,30.99,14.73
u_00264,control,81.06,74.09
u_00265,control,86.16,80.54
u_00266,control,80.67,95.7
u_00267,control,55.11,49.94
u_00268,control,21.17,32.32
u_00269,control,40.69,44.29
u_00270,control,16.75,29.35
u_00271,control,28.85,42.79
u_00272,control,6.87,1.9
u_00273,control,14.24,11.55
u_00274,control,60.32,64.45
u_00275,control,64.3,40.36
u_00276,control,58.6,46.7
u_00277,control,57.8,68.07
u_00278,control,58.49,61.51
u_00279,control,56.56,46.6
u_00280,control,34.63,43.78
u_00281,control,18.77,36.27
u_00282,control,20.65,11.87
u_00283,control,39.68,33.32
u_00284,control,29.5,33.48
u_00285,control,39.42,37.32
u_00286,control,72.68,63.59
u_00287,control,40.77,44.25
u_00288,control,69.17,55.27
u_00289,control,7.12,13.22
u_00290,control,69.12,50.71
u_00291,control,36.2,39.33
u_00292,control,66.17,85.83
u_00293,control,37.98,47.5
u_00294,control,28.51,36.96
u_00295,control,62.23,60.92
u_00296,control,21.53,25.11
u_00297,control,48.07,33.41
u_00298,control,14.73,25.76
u_00299,control,103.98,125.34
u_00300,control,32.42,33.98
u_00301,control,29.47,19.69
u_00302,control,31.65,39.04
u_00303,control,42.07,62.95
u_00304,control,43.44,64.74
u_00305,control,78.89,63.02
u_00306,control,20.78,35.44
u_00307,control,53.16,84.54
u_00308,control,19.74,20.5
u_00309,control,10.03,15.02
u_00310,control,30.02,20.98
u_00311,control,29.22,17.7
u_00312,control,62.17,72.39
u_00313,control,23.07,23.7
u_00314,control,40.75,35.23
u_00315,control,50.45,43.61
u_00316,control,50.25,51.37
u_00317,control,36.8,47.09
u_00318,control,10.7,24.99
u_00319,control,79.28,87.89
u_00320,control,26.37,26.17
u_00321,control,40.04,22.27
u_00322,control,39.75,29.77
u_00323,control,67.1,59.6
u_00324,control,10.46,25.66
u_00325,control,114.63,105.55
u_00326,control,35.78,49.26
u_00327,control,52.16,53.97
u_00328,control,23.87,18.88
u_00329,control,47.36,39.25
u_00330,control,96.55,109.51
u_00331,control,94.87,111.31
u_00332,control,57.88,44.83
u_00333,control,25.67,24.13
u_00334,control,74.86,88.27
u_00335,control,5.01,3.87
u_00336,control,26.95,30.88
u_00337,control,35.73,51.92
u_00338,control,8.17,16.96
u_00339,control,31.12,37.45
u_00340,control,70.48,78.7
u_00341,control,31.04,45.14
u_00342,control,61.89,65.64
u_00343,control,120.02,120.34
u_00344,control,58.61,46.16
u_00345,control,46.39,73.38
u_00346,control,85.86,68.51
u_00347,control,19.74,32.71
u_00348,control,53.46,65.61
u_00349,control,30.16,30.25
u_00350,control,68.98,53.86
u_00351,control,83.12,90.22
u_00352,control,33.26,26.63
u_00353,control,12.17,5.84
u_00354,control,11.25,34.27
u_00355,control,76.1,76.77
u_00356,control,19.92,35.82
u_00357,control,66.25,74.1
u_00358,control,27.46,24.23
u_00359,control,35.33,24.83
u_00360,control,50.64,30.73
u_00361,control,8.76,9.56
u_00362,control,39.93,42.37
u_00363,control,9.93,6.07
u_00364,control,33.14,46.46
u_00365,control,44.26,42.07
u_00366,control,1.0,7.69
u_00367,control,27.33,19.27
u_00368,control,49.12,55.8
u_00369,control,17.37,16.22
u_00370,control,51.35,47.23
u_00371,control,56.62,67.36
u_00372,control,44.56,53.54
u_00373,control,64.46,62.52
u_00374,control,14.06,21.42
u_00375,control,66.38,71.34
u_00376,control,37.19,27.53
u_00377,control,49.64,39.78
u_00378,control,96.52,116.14
u_00379,control,37.17,31.36
u_00380,control,36.05,56.71
u_00381,control,21.06,23.04
u_00382,control,96.53,105.54
u_00383,control,16.08,31.92
u_00384,control,63.49,69.57
u_00385,control,75.37,72.69
u_00386,control,60.45,71.89
u_00387,control,47.75,67.08
u_00388,control,69.62,43.88
u_00389,control,15.36,20.93
u_00390,control,80.34,92.7
u_00391,control,37.33,47.36
u_00392,control,50.35,57.97
u_00393,control,34.04,15.32
u_00394,control,39.95,37.87
u_00395,control,53.07,55.72
u_00396,control,105.51,104.57
u_00397,control,42.75,61.23
u_00398,control,42.94,41.42
u_00399,control,24.97,24.53
u_00400,control,36.01,23.7
u_00401,control,60.0,57.97
u_00402,control,8.98,1.0
u_00403,control,69.68,76.55
u_00404,control,87.88,74.62
u_00405,control,29.31,26.84
u_00406,control,59.36,49.28
u_00407,control,85.02,73.55
u_00408,control,43.22,46.85
u_00409,control,37.94,27.7
u_00410,control,46.7,43.61
u_00411,control,55.82,66.67
u_00412,control,33.2,42.97
u_00413,control,29.84,23.35
u_00414,control,53.67,46.29
u_00415,control,33.31,37.21
u_00416,control,19.87,21.77
u_00417,control,35.02,2.39
u_00418,control,32.4,47.8
u_00419,control,85.88,78.13
u_00420,control,46.84,69.05
u_00421,control,23.89,20.81
u_00422,control,49.42,38.21
u_00423,control,29.22,26.78
u_00424,control,95.37,92.94
u_00425,control,103.76,109.67
u_00426,control,91.07,106.52
u_00427,control,54.15,39.42
u_00428,control,160.64,165.11
u_00429,control,34.9,18.61
u_00430,control,25.56,34.75
u_00431,control,53.9,75.05
u_00432,control,48.88,47.24
