user_id,variant,converted,order_value
u_000000,variant,0,0.0
u_000001,control,0,0.0
u_000002,variant,0,0.0
u_000003,variant,0,0.0
u_000004,control,0,0.0
u_000005,variant,0,0.0
u_000006,variant,0,0.0
u_000007,variant,0,0.0
u_000008,control,0,0.0
u_000009,control,0,0.0
u_000010,control,0,0.0
u_000011,variant,0,0.0
u_000012,variant,0,0.0
u_000013,variant,0,0.0
u_000014,control,0,0.0
u_000015,control,1,50.33
u_000016,variant,0,0.0
u_000017,control,0,0.0
u_000018,variant,0,0.0
u_000019,variant,0,0.0
u_000020,variant,0,0.0
u_000021,control,0,0.0
u_000022,variant,0,0.0
u_000023,variant,0,0.0
u_000024,variant,0,0.0
u_000025,control,0,0.0
u_000026,control,0,0.0
u_000027,control,1,57.06
u_000028,control,0,0.0
u_000029,variant,0,0.0
u_000030,variant,0,0.0
u_000031,variant,1,63.63
u_000032,control,0,0.0
u_000033,control,0,0.0
u_000034,control,0,0.0
u_000035,control,0,0.0
u_000036,control,0,0.0
u_000037,control,0,0.0
u_000038,control,0,0.0
u_000039,variant,0,0.0
u_000040,control,0,0.0
u_000041,variant,0,0.0
u_000042,variant,0,0.0
u_000043,control,0,0.0
u_000044,variant,0,0.0
u_000045,variant,0,0.0
u_000046,control,0,0.0
u_000047,control,0,0.0
u_000048,variant,0,0.0
u_000049,control,0,0.0
u_000050,control,0,0.0
u_000051,control,0,0.0
u_000052,variant,0,0.0
u_000053,variant,0,0.0
u_000054,variant,0,0.0
u_000055,variant,0,0.0
u_000056,control,0,0.0
u_000057,variant,0,0.0
u_000058,control,0,0.0
u_000059,control,0,0.0
u_000060,variant,0,0.0
u_000061,control,0,0.0
u_000062,variant,0,0.0
u_000063,variant,0,0.0
u_000064,variant,0,0.0
u_000065,variant,0,0.0
u_000066,variant,0,0.0
u_000067,control,0,0.0
u_000068,control,0,0.0
u_000069,control,0,0.0
u_000070,control,0,0.0
u_000071,control,0,0.0
u_000072,variant,0,0.0
u_000073,control,0,0.0
u_000074,control,0,0.0
u_000075,control,1,29.06
u_000076,control,0,0.0
u_000077,variant,0,0.0
u_000078,variant,0,0.0
u_000079,variant,0,0.0
u_000080,variant,0,0.0
u_000081,control,0,0.0
u_000082,variant,0,0.0
u_000083,control,0,0.0
u_000084,control,0,0.0
u_000085,control,0,0.0
u_000086,variant,0,0.0
u_000087,control,0,0.0
u_000088,control,0,0.0
u_000089,variant,0,0.0
u_000090,control,0,0.0
u_000091,variant,0,0.0
u_000092,control,0,0.0
u_000093,control,0,0.0
u_000094,control,0,0.0
u_000095,variant,0,0.0
u_000096,control,0,0.0
u_000097,control,0,0.0
u_000098,control,0,0.0
u_000099,variant,0,0.0
u_000100,variant,0,0.0
u_000101,variant,0,0.0
u_000102,control,0,0.0
u_000103,variant,0,0.0
u_000104,variant,0,0.0
u_000105,variant,0,0.0
u_000106,control,0,0.0
u_000107,control,0,0.0
u_000108,control,0,0.0
u_000109,variant,0,0.0
u_000110,control,0,0.0
u_000111,control,0,0.0
u_000112,control,0,0.0
u_000113,variant,0,0.0
u_000114,control,0,0.0
u_000115,variant,0,0.0
u_000116,variant,0,0.0
u_000117,variant,0,0.0
u_000118,control,0,0.0
u_000119,variant,0,0.0
u_000120,variant,0,0.0
u_000121,variant,0,0.0
u_000122,control,0,0.0
u_000123,control,0,0.0
u_000124,control,0,0.0
u_000125,control,0,0.0
u_000126,control,0,0.0
u_000127,control,0,0.0
u_000128,control,0,0.0
u_000129,variant,0,0.0
u_000130,control,0,0.0
u_000131,variant,0,0.0
u_000132,variant,0,0.0
u_000133,control,0,0.0
u_000134,variant,0,0.0
u_000135,control,0,0.0
u_000136,variant,0,0.0
u_000137,control,0,0.0
u_000138,variant,0,0.0
u_000139,control,0,0.0
u_000140,control,0,0.0
u_000141,control,0,0.0
u_000142,variant,0,0.0
u_000143,variant,0,0.0
u_000144,control,0,0.0
u_000145,control,0,0.0
u_000146,control,0,0.0
u_000147,variant,0,0.0
u_000148,control,0,0.0
u_000149,control,0,0.0
u_000150,variant,0,0.0
u_000151,variant,0,0.0
u_000152,control,0,0.0
u_000153,variant,0,0.0
u_000154,control,0,0.0
u_000155,variant,0,0.0
u_000156,control,0,0.0
u_000157,variant,0,0.0
u_000158,variant,0,0.0
u_000159,variant,0,0.0
u_000160,control,0,0.0
u_000161,variant,0,0.0
u_000162,control,0,0.0
u_000163,control,0,0.0
u_000164,variant,1,75.79
u_000165,control,0,0.0
u_000166,variant,0,0.0
u_000167,variant,0,0.0
u_000168,control,0,0.0
u_000169,variant,0,0.0
u_000170,control,0,0.0
u_000171,variant,0,0.0
u_000172,control,1,42.79
u_000173,variant,0,0.0
u_000174,control,0,0.0
u_000175,control,0,0.0
u_000176,control,0,0.0
u_000177,variant,0,0.0
u_000178,variant,0,0.0
u_000179,variant,0,0.0
u_000180,variant,0,0.0
u_000181,variant,0,0.0
u_000182,variant,0,0.0
u_000183,control,0,0.0
u_000184,variant,0,0.0
u_000185,variant,0,0.0
u_000186,control,0,0.0
u_000187,control,0,0.0
u_000188,variant,0,0.0
u_000189,control,0,0.0
u_000190,variant,1,50.72
u_000191,control,0,0.0
u_000192,control,0,0.0
u_000193,variant,0,0.0
u_000194,control,0,0.0
u_000195,control,0,0.0
u_000196,variant,0,0.0
u_000197,variant,0,0.0
u_000198,control,0,0.0
u_000199,control,0,0.0
u_000200,variant,0,0.0
u_000201,variant,0,0.0
u_000202,variant,0,0.0
u_000203,control,0,0.0
u_000204,control,0,0.0
u_000205,control,0,0.0
u_000206,control,0,0.0
u_000207,variant,0,0.0
u_000208,control,0,0.0
u_000209,variant,0,0.0
u_000210,variant,0,0.0
u_000211,variant,0,0.0
u_000212,control,1,58.6
u_000213,variant,0,0.0
u_000214,variant,0,0.0
u_000215,variant,0,0.0
u_000216,control,0,0.0
u_000217,control,0,0.0
u_000218,variant,0,0.0
u_000219,control,0,0.0
u_000220,control,0,0.0
u_000221,control,0,0.0
u_000222,variant,0,0.0
u_000223,variant,0,0.0
u_000224,control,0,0.0
u_000225,variant,0,0.0
u_000226,control,0,0.0
u_000227,variant,0,0.0
u_000228,variant,0,0.0
u_000229,control,0,0.0
u_000230,control,0,0.0
u_000231,control,0,0.0
u_000232,variant,0,0.0
u_000233,variant,0,0.0
u_000234,variant,0,0.0
u_000235,variant,0,0.0
u_000236,control,0,0.0
u_000237,variant,0,0.0
u_000238,control,0,0.0
u_000239,control,0,0.0
u_000240,variant,0,0.0
u_000241,variant,0,0.0
u_000242,control,0,0.0
u_000243,variant,0,0.0
u_000244,variant,0,0.0
u_000245,variant,0,0.0
u_000246,variant,0,0.0
u_000247,control,0,0.0
u_000248,control,0,0.0
u_000249,control,0,0.0
u_000250,variant,0,0.0
u_000251,variant,0,0.0
u_000252,control,0,0.0
u_000253,control,0,0.0
u_000254,control,0,0.0
u_000255,variant,0,0.0
u_000256,variant,0,0.0
u_000257,control,0,0.0
u_000258,control,0,0.0
u_000259,variant,0,0.0
u_000260,control,0,0.0
u_000261,variant,0,0.0
u_000262,control,0,0.0
u_000263,control,0,0.0
u_000264,variant,0,0.0
u_000265,control,0,0.0
u_000266,control,0,0.0
u_000267,control,0,0.0
u_000268,control,0,0.0
u_000269,control,0,0.0
u_000270,control,0,0.0
u_000271,control,0,0.0
u_000272,control,1,58.92
u_000273,variant,0,0.0
u_000274,variant,0,0.0
u_000275,control,0,0.0
u_000276,control,0,0.0
u_000277,variant,0,0.0
u_000278,variant,0,0.0
u_000279,variant,0,0.0
u_000280,control,0,0.0
u_000281,control,0,0.0
u_000282,control,0,0.0
u_000283,control,0,0.0
u_000284,variant,0,0.0
u_000285,control,0,0.0
u_000286,control,0,0.0
u_000287,control,0,0.0
u_000288,variant,0,0.0
u_000289,control,0,0.0
u_000290,variant,0,0.0
u_000291,control,0,0.0
u_000292,variant,0,0.0
u_000293,control,0,0.0
u_000294,variant,0,0.0
u_000295,variant,0,0.0
u_000296,variant,0,0.0
u_000297,variant,0,0.0
u_000298,variant,0,0.0
u_000299,variant,0,0.0
u_000300,variant,0,0.0
u_000301,control,0,0.0
u_000302,variant,0,0.0
u_000303,variant,0,0.0
u_000304,variant,0,0.0
u_000305,control,0,0.0
u_000306,control,0,0.0
u_000307,variant,0,0.0
u_000308,control,0,0.0
u_000309,control,0,0.0
u_000310,control,0,0.0
u_000311,control,0,0.0
u_000312,control,0,0.0
u_000313,control,0,0.0
u_000314,control,1,29.81
u_000315,control,0,0.0
u_000316,control,0,0.0
u_000317,variant,0,0.0
u_000318,control,0,0.0
u_000319,variant,0,0.0
u_000320,variant,0,0.0
u_000321,control,0,0.0
u_000322,control,0,0.0
u_000323,variant,0,0.0
u_000324,variant,0,0.0
u_000325,variant,1,58.23
u_000326,variant,0,0.0
u_000327,variant,0,0.0
u_000328,variant,0,0.0
u_000329,control,0,0.0
u_000330,variant,0,0.0
u_000331,control,0,0.0
u_000332,variant,0,0.0
u_000333,variant,0,0.0
u_000334,control,0,0.0
u_000335,variant,0,0.0
u_000336,control,0,0.0
u_000337,variant,0,0.0
u_000338,control,0,0.0
u_000339,variant,0,0.0
u_000340,control,0,0.0
u_000341,variant,0,0.0
u_000342,variant,0,0.0
u_000343,variant,0,0.0
u_000344,variant,0,0.0
u_000345,variant,0,0.0
u_000346,variant,0,0.0
u_000347,control,0,0.0
u_000348,variant,0,0.0
u_000349,control,0,0.0
u_000350,variant,0,0.0
u_000351,control,0,0.0
u_000352,variant,0,0.0
u_000353,variant,0,0.0
u_000354,control,0,0.0
u_000355,variant,0,0.0
u_000356,variant,0,0.0
u_000357,variant,0,0.0
u_000358,control,0,0.0
u_000359,variant,0,0.0
u_000360,variant,0,0.0
u_000361,control,0,0.0
u_000362,control,0,0.0
u_000363,control,0,0.0
u_000364,variant,0,0.0
u_000365,control,0,0.0
u_000366,variant,0,0.0
u_000367,variant,0,0.0
u_000368,control,0,0.0
u_000369,variant,0,0.0
u_000370,variant,0,0.0
u_000371,control,0,0.0
u_000372,control,0,0.0
u_000373,control,0,0.0
u_000374,control,0,0.0
u_000375,control,0,0.0
u_000376,variant,0,0.0
u_000377,control,0,0.0
u_000378,control,0,0.0
u_000379,variant,0,0.0
u_000380,variant,0,0.0
u_000381,variant,0,0.0
u_000382,variant,0,0.0
u_000383,control,0,0.0
u_000384,control,0,0.0
u_000385,variant,0,0.0
u_000386,variant,0,0.0
u_000387,variant,0,0.0
u_000388,control,0,0.0
u_000389,variant,0,0.0
u_000390,variant,0,0.0
u_000391,control,0,0.0
u_000392,variant,0,0.0
