user_id,variant,converted,order_value
u_000000,control,0,0.0
u_000001,variant,0,0.0
u_000002,control,0,0.0
u_000003,control,0,0.0
u_000004,control,0,0.0
u_000005,control,0,0.0
u_000006,variant,0,0.0
u_000007,variant,0,0.0
u_000008,variant,0,0.0
u_000009,control,0,0.0
u_000010,variant,0,0.0
u_000011,variant,0,0.0
u_000012,control,0,0.0
u_000013,control,0,0.0
u_000014,control,0,0.0
u_000015,control,0,0.0
u_000016,control,0,0.0
u_000017,control,0,0.0
u_000018,variant,0,
u_000019,control,0,0.0
u_000020,control,0,0.0
u_000021,variant,0,0.0
u_000022,control,0,0.0
u_000023,control,0,0.0
u_000024,control,0,0.0
u_000025,variant,0,0.0
u_000026,control,0,0.0
u_000027,variant,0,0.0
u_000028,variant,0,0.0
u_000029,variant,0,0.0
u_000030,variant,0,0.0
u_000031,variant,0,0.0
u_000032,variant,0,0.0
u_000033,control,0,0.0
u_000034,control,0,0.0
u_000035,control,0,0.0
u_000036,control,0,0.0
u_000037,control,0,0.0
u_000038,variant,0,0.0
u_000039,control,0,0.0
u_000040,control,1,73.47
u_000041,control,0,0.0
u_000042,variant,0,0.0
u_000043,control,0,0.0
u_000044,variant,0,0.0
u_000045,variant,0,0.0
u_000046,control,0,0.0
u_000047,variant,1,47.45
u_000048,variant,1,45.06
u_000049,variant,0,0.0
u_000050,variant,0,0.0
u_000051,control,0,0.0
u_000052,variant,0,0.0
u_000053,variant,0,0.0
u_000054,variant,0,0.0
u_000055,variant,0,0.0
u_000056,variant,0,0.0
u_000057,control,0,0.0
u_000058,control,0,0.0
u_000059,control,0,0.0
u_000060,variant,0,0.0
u_000061,control,0,0.0
u_000062,variant,0,0.0
u_000063,control,0,0.0
u_000064,control,0,0.0
u_000065,control,0,0.0
u_000066,control,0,0.0
u_000067,variant,0,0.0
u_000068,control,0,0.0
u_000069,control,0,0.0
u_000070,control,0,0.0
u_000071,control,0,0.0
u_000072,control,0,0.0
u_000073,control,0,0.0
u_000074,variant,0,0.0
u_000075,variant,0,0.0
u_000076,variant,0,0.0
u_000077,control,0,0.0
u_000078,control,0,0.0
u_000079,control,0,0.0
u_000080,variant,0,0.0
u_000081,control,0,0.0
u_000082,control,0,0.0
u_000083,variant,0,0.0
u_000084,control,0,0.0
u_000085,control,0,0.0
u_000086,variant,0,0.0
u_000087,variant,0,0.0
u_000088,control,0,0.0
u_000089,control,0,0.0
u_000090,control,0,0.0
u_000091,control,0,0.0
u_000092,control,1,61.96
u_000093,control,0,0.0
u_000094,control,0,0.0
u_000095,control,0,0.0
u_000096,variant,0,0.0
u_000097,variant,0,0.0
u_000098,control,0,0.0
u_000099,control,0,0.0
u_000100,variant,0,0.0
u_000101,control,0,0.0
u_000102,variant,0,0.0
u_000103,control,1,51.79
u_000104,variant,0,0.0
u_000105,control,0,0.0
u_000106,control,0,0.0
u_000107,variant,0,0.0
u_000108,variant,0,0.0
u_000109,control,0,0.0
u_000110,variant,0,0.0
u_000111,variant,0,0.0
u_000112,control,0,0.0
u_000113,control,0,0.0
u_000114,control,0,0.0
u_000115,variant,0,0.0
u_000116,control,0,0.0
u_000117,control,0,0.0
u_000118,control,0,0.0
u_000119,control,1,55.54
u_000120,control,0,0.0
u_000121,control,0,0.0
u_000122,control,0,0.0
u_000123,control,0,0.0
u_000124,control,0,0.0
u_000125,control,0,0.0
u_000126,control,1,62.72
u_000127,variant,0,0.0
u_000128,control,0,0.0
u_000129,control,0,0.0
u_000130,control,0,0.0
u_000131,variant,0,0.0
u_000132,variant,0,0.0
u_000133,variant,0,0.0
u_000134,control,0,0.0
u_000135,control,0,0.0
u_000136,control,0,0.0
u_000137,control,0,0.0
u_000138,variant,0,0.0
u_000139,control,0,0.0
u_000140,variant,0,0.0
u_000141,variant,0,0.0
u_000142,variant,0,0.0
u_000143,control,0,0.0
u_000144,variant,0,0.0
u_000145,control,0,0.0
u_000146,control,0,0.0
u_000147,control,0,0.0
u_000148,variant,0,0.0
u_000149,variant,0,0.0
u_000150,control,1,0.0
u_000151,variant,0,0.0
u_000152,control,0,0.0
u_000153,variant,0,0.0
u_000154,control,0,0.0
u_000155,control,0,0.0
u_000156,control,0,0.0
u_000157,variant,0,0.0
u_000158,variant,0,0.0
u_000159,control,0,0.0
u_000160,control,0,0.0
u_000161,control,0,0.0
u_000162,variant,0,0.0
u_000163,control,0,0.0
u_000164,control,0,0.0
u_000165,control,0,0.0
u_000166,control,0,0.0
u_000167,variant,0,0.0
u_000168,control,0,0.0
u_000169,control,0,0.0
u_000170,control,1,35.73
u_000171,control,0,0.0
u_000172,control,0,0.0
u_000173,control,0,0.0
