user_id,variant,converted,error_rate
u_00000,control,0,0.0066
u_00001,control,0,0.0263
u_00002,control,0,0.0199
u_00003,control,0,0.0181
u_00004,control,0,0.0115
u_00005,control,0,0.0149
u_00006,control,0,0.0067
u_00007,control,0,0.0184
u_00008,control,0,0.0133
u_00009,control,0,0.0255
u_00010,control,0,0.0109
u_00011,control,0,0.0469
u_00012,control,0,0.0177
u_00013,control,0,0.0101
u_00014,control,0,0.031
u_00015,control,0,0.0539
u_00016,control,1,0.0563
u_00017,control,0,0.0157
u_00018,control,0,0.0108
u_00019,control,1,0.0439
u_00020,control,0,0.0074
u_00021,control,0,0.0367
u_00022,control,0,0.0169
u_00023,control,0,0.0137
u_00024,control,0,0.0051
u_00025,control,0,0.0176
u_00026,control,0,0.0273
u_00027,control,0,0.018
u_00028,control,0,0.0174
u_00029,control,0,0.0059
u_00030,control,0,0.0252
u_00031,control,0,0.0191
u_00032,control,0,0.0159
u_00033,control,0,0.0082
u_00034,control,0,0.0328
u_00035,control,0,0.012
u_00036,control,0,0.0042
u_00037,control,0,0.0223
u_00038,control,0,0.0059
u_00039,control,0,0.0062
u_00040,control,0,0.0268
u_00041,control,0,0.04
u_00042,control,0,0.0028
u_00043,control,0,0.0198
u_00044,control,0,0.0312
u_00045,control,0,0.0383
u_00046,control,0,0.0242
u_00047,control,0,0.0087
u_00048,control,0,0.0105
u_00049,control,0,0.0085
u_00050,control,0,0.0075
u_00051,control,0,0.0102
u_00052,control,0,0.0361
u_00053,control,0,0.0241
u_00054,control,0,0.0204
u_00055,control,0,0.0348
u_00056,control,0,0.0303
u_00057,control,0,0.0607
u_00058,control,1,0.0018
u_00059,control,0,0.0131
u_00060,control,0,0.0105
u_00061,control,0,0.0028
u_00062,control,0,0.0129
u_00063,control,0,0.0085
u_00064,control,0,0.0482
u_00065,control,0,0.0486
u_00066,control,0,0.0437
u_00067,control,0,0.0084
u_00068,control,1,0.0035
u_00069,control,0,0.0041
u_00070,control,0,0.0284
u_00071,control,0,0.0226
u_00072,control,0,0.0107
u_00073,control,0,0.0104
u_00074,control,0,0.0134
u_00075,control,0,0.0036
u_00076,control,0,0.0316
u_00077,control,0,0.0193
u_00078,control,0,0.0013
u_00079,control,0,0.0193
u_00080,control,0,0.0088
u_00081,control,0,0.0131
u_00082,control,0,0.0157
u_00083,control,0,0.0194
u_00084,control,0,0.014
u_00085,control,0,0.0432
u_00086,control,0,0.0156
u_00087,control,0,0.0204
u_00088,control,0,0.0097
u_00089,control,0,0.0176
u_00090,control,0,0.0114
u_00091,control,0,0.0269
u_00092,control,0,0.0161
u_00093,control,0,0.021
u_00094,control,0,0.0154
u_00095,control,0,0.0131
u_00096,control,0,0.0395
u_00097,control,0,0.0251
u_00098,control,0,0.0165
u_00099,control,0,0.0179
u_00100,control,1,0.0118
u_00101,control,0,0.0133
u_00102,control,0,0.0444
u_00103,control,0,0.0132
u_00104,control,0,0.0425
u_00105,control,0,0.0177
u_00106,control,0,0.0731
u_00107,control,0,0.0257
u_00108,control,0,0.02
u_00109,control,0,0.0272
u_00110,control,0,0.0132
u_00111,control,0,0.0191
u_00112,control,0,0.0114
u_00113,control,0,0.0358
u_00114,control,0,0.0139
u_00115,control,0,0.0244
u_00116,control,0,0.0034
u_00117,control,0,0.0243
u_00118,control,0,0.0409
u_00119,control,0,0.0161
u_00120,control,0,0.0502
u_00121,control,0,0.0079
u_00122,control,0,0.0085
u_00123,control,0,0.0195
u_00124,control,0,0.0105
u_00125,control,0,0.0423
u_00126,control,0,0.0099
u_00127,control,0,0.0234
u_00128,control,0,0.0214
u_00129,control,0,0.0143
u_00130,control,0,0.0036
u_00131,control,0,0.0054
u_00132,control,0,0.0153
u_00133,control,0,0.0284
u_00134,control,0,0.0081
u_00135,control,0,0.0648
u_00136,control,1,0.0077
u_00137,control,0,0.0128
u_00138,control,0,0.0118
u_00139,control,0,0.0204
u_00140,control,0,0.0216
u_00141,control,0,0.013
u_00142,control,0,0.0029
u_00143,control,0,0.0106
u_00144,control,0,0.0084
u_00145,control,0,0.0148
u_00146,control,0,0.0512
u_00147,control,0,0.0427
u_00148,control,0,0.0295
u_00149,control,0,0.0575
u_00150,control,0,0.0149
u_00151,control,0,0.0291
u_00152,control,0,0.0122
u_00153,control,0,0.0164
u_00154,control,0,0.0286
u_00155,control,1,0.0103
u_00156,control,0,0.0339
u_00157,control,0,0.0245
u_00158,control,0,0.0274
u_00159,control,0,0.0127
u_00160,control,0,0.0028
u_00161,control,0,0.0098
u_00162,control,0,0.0108
u_00163,control,0,0.0201
u_00164,control,0,0.0205
u_00165,control,0,0.0177
u_00166,control,0,0.0139
u_00167,control,0,0.0341
u_00168,control,0,0.0095
u_00169,control,1,0.0109
