user_id,event,timestamp,experiment_group
u_000000,Visit,2026-01-29 08:19:00,control
u_000001,Visit,2026-01-19 18:04:00,variant
u_000002,Visit,2026-01-26 00:13:00,control
u_000002,Signup,2026-01-26 00:40:00,control
u_000003,Visit,2026-01-28 09:05:00,variant
u_000004,Visit,2026-01-01 03:47:00,control
u_000005,Visit,2026-01-04 13:44:00,variant
u_000005,Signup,2026-01-04 14:40:00,variant
u_000005,Trial,2026-01-04 18:16:00,variant
u_000006,Visit,2026-01-08 15:30:00,control
u_000006,Signup,2026-01-08 16:40:00,control
u_000007,Visit,2026-01-17 14:31:00,variant
u_000008,Visit,2026-01-22 00:11:00,control
u_000009,Visit,2026-01-19 15:58:00,variant
u_000009,Signup,2026-01-19 17:39:00,variant
u_000010,Visit,2026-01-05 19:21:00,control
u_000010,Signup,2026-01-05 20:14:00,control
u_000010,Trial,2026-01-05 20:25:00,control
u_000011,Visit,2026-01-25 06:04:00,variant
u_000011,Signup,2026-01-25 07:54:00,variant
u_000011,Trial,2026-01-25 09:14:00,variant
u_000011,Purchase,2026-01-26 21:14:00,variant
u_000012,Visit,2026-01-30 19:08:00,control
u_000012,Signup,2026-01-30 19:10:00,control
u_000013,Visit,2026-01-27 10:55:00,variant
u_000013,Signup,2026-01-27 11:19:00,variant
u_000013,Trial,2026-01-27 14:24:00,variant
u_000013,Purchase,2026-01-30 01:24:00,variant
u_000014,Visit,2026-01-17 00:20:00,control
u_000015,Visit,2026-01-09 00:40:00,variant
u_000015,Signup,2026-01-09 02:32:00,variant
u_000016,Visit,2026-01-26 09:56:00,control
u_000017,Visit,2026-01-15 04:55:00,variant
u_000017,Signup,2026-01-15 05:06:00,variant
u_000017,Trial,2026-01-15 08:10:00,variant
u_000018,Visit,2026-01-27 03:21:00,control
u_000018,Signup,2026-01-27 03:34:00,control
u_000018,Trial,2026-01-27 03:52:00,control
u_000019,Visit,2026-01-07 18:28:00,variant
u_000020,Visit,2026-01-05 12:08:00,control
u_000020,Signup,2026-01-05 13:17:00,control
u_000021,Visit,2026-01-30 08:41:00,variant
u_000021,Signup,2026-01-30 09:35:00,variant
u_000022,Visit,2026-01-20 03:21:00,control
u_000022,Signup,2026-01-20 04:28:00,control
u_000022,Trial,2026-01-20 06:40:00,control
u_000023,Visit,2026-01-25 18:50:00,variant
u_000024,Visit,2026-01-03 21:37:00,control
u_000024,Signup,2026-01-03 21:38:00,control
u_000024,Trial,2026-01-04 00:59:00,control
