user_id,variant,converted,order_value,recency,history,history_segment,channel,zip_code,newbie,visit
u_000000,treatment_womens,0,0.0,10,142.44,2) $100 - $200,Phone,Surburban,0,0
u_000001,control,0,0.0,6,329.08,3) $200 - $350,Web,Rural,1,0
u_000002,treatment_womens,0,0.0,7,180.65,2) $100 - $200,Web,Surburban,1,0
u_000003,treatment_mens,0,0.0,9,675.83,5) $500 - $750,Web,Rural,1,0
u_000004,treatment_womens,0,0.0,2,45.34,1) $0 - $100,Web,Urban,0,0
u_000005,treatment_womens,0,0.0,6,134.83,2) $100 - $200,Phone,Surburban,0,1
u_000006,treatment_womens,0,0.0,9,280.2,3) $200 - $350,Phone,Surburban,1,0
u_000007,treatment_womens,0,0.0,9,46.42,1) $0 - $100,Phone,Urban,0,0
u_000008,treatment_mens,0,0.0,9,675.07,5) $500 - $750,Phone,Rural,1,0
u_000009,treatment_womens,0,0.0,10,32.84,1) $0 - $100,Web,Urban,1,0
u_000010,treatment_womens,0,0.0,7,548.91,5) $500 - $750,Phone,Urban,1,1
u_000011,treatment_womens,0,0.0,1,211.45,3) $200 - $350,Phone,Urban,1,0
u_000012,treatment_womens,0,0.0,5,642.9,5) $500 - $750,Multichannel,Surburban,1,0
u_000013,treatment_mens,0,0.0,2,101.64,2) $100 - $200,Web,Urban,0,1
u_000014,control,0,0.0,4,241.42,3) $200 - $350,Multichannel,Rural,1,0
u_000015,control,0,0.0,3,58.13,1) $0 - $100,Web,Urban,1,1
u_000016,treatment_mens,0,0.0,5,29.99,1) $0 - $100,Phone,Surburban,0,0
u_000017,treatment_mens,0,0.0,9,112.35,2) $100 - $200,Web,Rural,0,0
u_000018,treatment_mens,0,0.0,11,219.04,3) $200 - $350,Phone,Surburban,0,0
u_000019,treatment_mens,0,0.0,5,828.42,"6) $750 - $1,000",Multichannel,Surburban,1,0
u_000020,control,0,0.0,9,29.99,1) $0 - $100,Phone,Surburban,1,0
u_000021,treatment_mens,0,0.0,11,182.32,2) $100 - $200,Phone,Surburban,0,0
u_000022,treatment_mens,0,0.0,2,118.4,2) $100 - $200,Web,Surburban,0,1
u_000023,control,0,0.0,2,29.99,1) $0 - $100,Phone,Urban,1,0
u_000024,control,0,0.0,4,78.24,1) $0 - $100,Web,Surburban,0,0
u_000025,treatment_mens,0,0.0,6,139.87,2) $100 - $200,Web,Rural,1,0
u_000026,treatment_mens,0,0.0,12,115.39,2) $100 - $200,Phone,Surburban,0,1
u_000027,treatment_mens,0,0.0,6,162.98,2) $100 - $200,Web,Surburban,0,0
u_000028,control,0,0.0,7,435.73,4) $350 - $500,Web,Urban,1,0
u_000029,control,0,0.0,2,203.35,3) $200 - $350,Web,Rural,0,0
u_000030,treatment_womens,0,0.0,2,237.53,3) $200 - $350,Phone,Surburban,0,0
u_000031,treatment_mens,0,0.0,9,334.24,3) $200 - $350,Web,Urban,0,0
u_000032,treatment_mens,0,0.0,6,128.01,2) $100 - $200,Web,Urban,0,0
u_000033,treatment_mens,0,0.0,9,29.99,1) $0 - $100,Phone,Surburban,1,0
u_000034,treatment_womens,0,0.0,3,29.99,1) $0 - $100,Web,Rural,0,0
u_000035,treatment_womens,0,0.0,4,218.72,3) $200 - $350,Multichannel,Urban,0,0
u_000036,treatment_mens,0,0.0,1,514.52,5) $500 - $750,Web,Surburban,1,0
u_000037,treatment_mens,0,0.0,4,766.47,"6) $750 - $1,000",Multichannel,Urban,1,0
